ID,Age,Experience,Income,ZIP.Code,Family,CCAvg,Education,Mortgage,Personal.Loan,Securities.Account,CD.Account,Online,CreditCard
3500,49,23,114,94550,1,0.3,1,286,0,0,0,1,0
3501,51,26,90,94110,1,2.8,2,0,0,0,0,1,1
3502,65,39,105,91380,4,1.7,3,0,0,1,0,1,0
3503,32,8,58,95616,3,2,1,90,0,0,0,1,0
3504,29,3,53,95814,4,2.1,3,0,0,0,0,1,0
3505,46,20,15,95370,4,0.6,3,0,0,1,0,1,0
3506,64,39,103,90304,1,0.8,3,0,0,0,0,1,1
3507,27,1,58,95827,4,1.8,2,154,0,0,1,1,1
3508,50,23,83,91791,1,2.67,2,0,0,0,1,1,1
3509,33,9,125,92182,1,4.3,3,0,1,0,0,1,0
3510,38,12,61,91330,3,0.9,3,0,0,0,0,0,0
3511,38,11,69,92124,3,2.33,2,0,0,0,0,0,0
3512,37,11,89,94609,1,1.5,3,0,0,0,0,1,0
3513,46,20,70,90405,4,2.9,1,0,0,0,0,0,1
3514,31,4,39,94501,2,1,2,0,0,0,0,0,0
3515,35,9,41,90024,4,1.2,2,0,0,0,0,1,0
3516,50,26,148,94143,2,0.4,1,508,0,0,0,0,0
3517,45,21,38,93943,3,0.6,2,148,0,0,0,1,0
3518,30,6,95,94234,1,3.9,3,146,1,0,0,0,1
3519,60,36,129,95039,2,6,1,0,0,0,0,0,0
3520,31,5,84,94720,4,1.8,2,0,0,1,0,1,0
3521,60,35,29,92126,3,1.3,2,0,0,0,0,0,0
3522,36,10,30,91711,2,0.8,3,0,0,0,0,1,0
3523,64,40,90,94028,2,0,3,134,0,0,0,0,0
3524,29,4,150,91302,1,0.8,1,0,0,0,0,0,1
3525,58,33,15,94583,4,0.9,2,0,0,0,0,0,0
3526,59,34,13,96651,4,0.9,2,0,0,0,0,0,0
3527,58,33,9,95008,2,0.2,3,0,0,0,0,1,0
3528,35,10,24,95054,4,1.1,3,0,0,0,0,0,0
